Duszniki-Zdrój;4728
Karpacz;4711
Kcynia;4678
Brześć Kujawski;4660
Ciechanowiec;4655
Biecz;4629
Supraśl;4621
Reszel;4615
Ożarów;4594
Ruciane-Nida;4579
Pilawa;4557
Kalwaria Zebrzydowska;4551
Zduny;4543
Żarki;4539
Leśna;4532
Łabiszyn;4501
Golina;4493
Piotrków Kujawski;4490
Krzepice;4488
Raciąż;4437
Krośniewice;4426
Chęciny;4421
Kalisz Pomorski;4399
Rejowiec Fabryczny;4396
Mrocza;4395
Woźniki;4393
Skaryszew;4375
BytomOdrzański;4365
Słomniki;4359
Serock;4353
Jasień;4348
Olszyna;4347
Korsze;4346
Skoki;4314
Ogrodzieniec;4313
Sława;4311
Krobia;4304
Szamocin;4302
Resko;4255
Żabno;4248
Nowogrodziec;4244
Zawidów;4232
Kleczew;4212
Świeradów-Zdrój;4209
Nowy Staw;4196
Kowalewo Pomorskie;4192
Szczucin;4163
Mieroszów;4147
Sokołów Małopolski;4133
Gąbin;4127
Tarczyn;4105
Czerwieńsk;4094
Bobolice;4061
Biała Piska;4041
Górowo Iławeckie;4021
Janowiec Wielkopolski;4016
Tułowice;4000
Płoty;3995
Żelechów;3994
Lipiany;3982
Iłowa;3947
Mirsk;3938
Okonek;3929
Babimost;3923
Ośno Lubuskie;3911
Podkowa Leśna;3875
Drzewica;3865
Mikołajki;3852
Nowe Miasto nad Pilicą;3830
Małogoszcz;3809
Tyczyn;3805
Rymanów;3792
Brańsk;3785
Jabłonowo Pomorskie;3782
Pruchnik;3772
Skała;3770
Kargowa;3766
Chmielnik;3752
Nałęczów;3750
Dobrodzień;3749
Barwice;3742
Ujście;3738
Opatówek;3723
Nekla;3719
Halinów;3718
Wojcieszów;3696
Strumień;3696
Łeba;3694
Zator;3691
Mieszkowice;3681
Szczekociny;3679
Krajenka;3678
Byczyna;3651
Prochowice;3646
Kępice;3646
Przedbórz;3615
Skórcz;3609
Skępe;3607
Toszek;3596
Miłosław;3589
Sompolno;3587
Mrozy;3576
Rakoniewice;3571
Kowal;3544
Małomice;3512
Stryków;3493
Szczuczyn;3426
Myszyniec;3397
Tarnogród;3395
Rzgów;3385
Alwernia;3380
Hel;3373
Wojnicz;3365
Złoczew;3351
Kock;3342
Maszewo;3342
Kolonowskie;3324
Tuliszków;3322
Łasin;3320
Gołańcz;3294
Miejska Górka;3261
Warta;3258
Jeziorany;3258
Kobylin;3256
Zwierzyniec;3235
Radoszyce;3217
Zakroczym;3211
Biała Rawska;3206
Chociwel;3183
Kańczuga;3182
Radomyśl Wielki;3167
Pyzdry;3164
Dobrzyca;3153
Krasnobród;3138
Ślesin;3135
Bobowa;3123
Gozdnica;3100
Dobiegniew;3087
Michałowo;3073
Chorzele;3069
Wilamowice;3065
Mirosławiec;3065
Lubraniec;3052
Oleszyce;3041
Glinojeck;3027
Zagórów;3024
Zaklików;3017
Ćmielów;3014
Uniejów;3011
Margonin;3011
Mielno;3000
Lwówek;2999
Niemcza;2981
Łobżenica;2971
Kunów;2970
Polanów;2949
Bojanowo;2940
Baborów;2933
Recz;2930
Kałuszyn;2927
Drobin;2925
Daleszyce;2914
Sulmierzyce;2899
Węgliniec;2868
Ryn;2865
Węgorzyno;2865
Czarna Woda;2841
Poniec;2841
Ryglice;2831
Złoty Stok;2821
Nowe Miasteczko;2816
Kamieńsk;2812
Rydzyna;2811
Pieniężno;2802
Wąchock;2795
Knyszyn;2782
Radłów;2780
Cybinka;2755
Różan;2755
Książ Wielkopolski;2749
Jastarnia;2736
Nowy Wiśnicz;2728
Tolkmicko;2719
Brzostek;2714
Dziwnów;2707
Wąsosz;2688
Wysoka;2688
Golczewo;2686
Izbica Kujawska;2677
Leśnica;2668
Czyżew;2640
Wyszogród;2634
Kłecko;2631
Międzylesie;2623
Czerniejewo;2620
Miłakowo;2609
Kazimierz Dolny;2607
Bardo;2603
Prószków;2603
Piaski;2598
Pełczyce;2597
Annopol;2572
Stoczek Łukowski;2556
Pasym;2549
Torzym;2529
Borek Wielkopolski;2523
Łęknica;2500
Józefów;2498
Koprzywnica;2497
Tychowo;2495
Stepnica;2478
Zabłudów;2476
Ciężkowice;2470
Lubycza Królewska;2469
Biała;2454
GorzówŚląski;2451
Miłomłyn;2449
Trzciel;2445
Gościno;2436
Radków;2427
Krynki;2424
Koziegłowy;2424
Świątniki Górne;2422
Bisztynek;2417
Kamień Krajeński;2394
Frombork;2389
Czchów;2380
Rychwał;2379
Obrzycko;2378
Lipsk;2376
Międzybórz;2362
Dobra;2353
Wolbórz;2336
Człopa;2326
Osieczna;2322
Świerzawa;2315
Drawno;2307
Trzcińsko-Zdrój;2297
Wiązów;2296
Mogielnica;2294
Dobrzany;2288
Bodzentyn;2238
Prusice;2235
Stawiski;2229
Szepietowo;2209
Suchowola;2196
Łaszczów;2190
Nowogród;2173
Biały Bór;2171
Krzanowice;2168
Zalewo;2165
Dobrzyń nad Wisłą;2161
Błaszki;2158
Błażowa;2148
Sieniawa;2146
Kisielice;2135
Tyszowce;2120
KosówLacki;2120
Żerków;2120
Narol;2102
Raszków;2101
Dukla;2098
Pogorzela;2098
Ostrów Lubelski;2095
Rejowiec;2084
Lubniewice;2019
Dąbie;2017
Drohiczyn;2011
Osiek;2004
Lubomierz;2002
Sanniki;1994
Tykocin;1980
Sępopol;1970
Pilica;1967
Jutrosin;1966
Ińsko;1965
Szadek;1957
Brok;1955
Grabów nad Prosną;1941
Ostroróg;1941
Cieszanów;1940
Tuczno;1931
Nieszawa;1914
Chodecz;1885
Sośnicowice;1881
Bieżuń;1875
Mikstat;1866
Radzyń Chełmiński;1851
Korfantów;1842
Goniądz;1827
Chocz;1811
Wleń;1806
Iwonicz-Zdrój;1798
Zawichost;1793
Młynary;1792
Mordy;1780
Ujazd;1770
Wielichowo;1767
Przecław;1748
Morawica;1730
Krzywiń;1714
Urzędów;1703
Przedecz;1690
Nowe Brzesko;1674
Zakliczyn;1656
Cedynia;1625
Jedwabne;1624
Moryń;1620
Otyń;1589
Łagów;1573
Rajgród;1571
Dolsk;1569
Stawiszyn;1530
Suchań;1490
Baranów Sandomierski;1477
Modliborzyce;1469
Jaraczewo;1467
Kołaczyce;1434
Stopnica;1434
Frampol;1433
Siedliszcze;1418
Ulanów;1405
Górzno;1403
Dobra;1396
Lubień Kujawski;1391
Krynica Morska;1302
Kleszczele;1297
Skalbmierz;1292
Szlichtyngowa;1289
Nowe Warpno;1196
Suraż;992
Józefów nad Wisłą;929
Działoszyce;913
Wyśmierzyce;896
Wiślica;500
